iter	RMSE
0	70.74715122
1	64.89425958
2	59.46048686
3	54.50086715
4	49.95018257
5	45.76302623
6	41.94589653
7	38.55354955
8	35.41966993
9	32.78621693
10	30.40813141
11	28.11290343
12	26.12156396
13	24.12760521
14	22.42709947
15	20.99929504
16	19.51399963
17	18.26585577
18	17.11833845
19	16.02073023
20	14.9414769
21	14.03111486
22	13.29910705
23	12.54799089
24	11.8471004
25	11.31759883
26	10.80605119
27	10.32627363
28	9.832778305
29	9.494505638
30	9.129666711
31	8.796562763
32	8.494842101
33	8.194591614
34	7.899990244
35	7.675022
36	7.469073604
37	7.27212958
38	7.100701524
39	6.927411019
40	6.781613888
41	6.659721777
42	6.531964259
43	6.42133221
44	6.318566201
45	6.213772622
46	6.120457853
47	6.027266453
48	5.953351584
49	5.857377926
50	5.784775736
51	5.717647925
52	5.655258071
53	5.614928159
54	5.559263469
55	5.501396398
56	5.469430452
57	5.42439526
58	5.390029364
59	5.355595618
60	5.321986309
61	5.288741601
62	5.253438662
63	5.227065959
64	5.204729626
65	5.16495836
66	5.143994629
67	5.1003483
68	5.075673898
69	5.029871977
70	5.010505214
71	4.989042753
72	4.970181012
73	4.908797712
74	4.886477428
75	4.871401114
76	4.856881938
77	4.827545729
78	4.778041455
79	4.750681322
80	4.731201847
81	4.711947201
82	4.699687389
83	4.668424718
84	4.647466422
85	4.621099541
86	4.602950136
87	4.576256258
88	4.558530339
89	4.55055825
90	4.542460825
91	4.537202268
92	4.527675137
93	4.523188107
94	4.519790232
95	4.516517422
96	4.495556465
97	4.467931159
98	4.458942077
99	4.438660416
