iter	Passed	Remaining
0	3	343
1	6	295
2	8	278
3	10	244
4	12	242
5	14	225
6	16	213
7	19	228
8	21	213
9	25	226
10	28	234
11	30	221
12	31	211
13	34	211
14	37	214
15	44	235
16	47	231
17	49	225
18	50	216
19	51	207
20	52	199
21	55	196
22	58	195
23	59	189
24	62	188
25	64	183
26	66	178
27	69	179
28	72	178
29	74	173
30	75	168
31	76	163
32	78	160
33	80	155
34	82	152
35	83	148
36	85	145
37	86	141
38	87	137
39	88	133
40	89	129
41	90	125
42	91	121
43	92	118
44	93	114
45	95	112
46	96	108
47	97	105
48	98	102
49	99	99
50	100	96
51	101	93
52	102	90
53	103	88
54	104	85
55	105	83
56	106	80
57	107	77
58	108	75
59	109	73
60	110	70
61	112	68
62	112	66
63	113	64
64	114	61
65	115	59
66	116	57
67	117	55
68	118	53
69	119	51
70	120	49
71	121	47
72	122	45
73	123	43
74	124	41
75	125	39
76	126	37
77	127	36
78	128	34
79	129	32
80	130	30
81	131	28
82	134	27
83	135	25
84	137	24
85	138	22
86	139	20
87	140	19
88	141	17
89	142	15
90	143	14
91	144	12
92	145	10
93	146	9
94	147	7
95	148	6
96	149	4
97	151	3
98	151	1
99	153	0
